Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
50.01,26,58226.8,152.39,Advanced mobile framework,Millerport,0,Nauru,09-01-2016 06:00,0
86.7,27,52735.42,266.92,Organic bottom-line service-desk,Millerport,0,Tunisia,09-01-2016 12:00,1
51.88,20,73935.48,142.02,Triple-buffered reciprocal time-frame,West Jodi,1,India,09-01-2016 18:00,0
85.55,33,71876.34,295.24,Organic bottom-line service-desk,Millerport,0,San Marino,10-01-2016 00:00,1
76.94,44,68134.11,272.81,Triple-buffered reciprocal time-frame,South Manuel,0,Nauru,10-01-2016 06:00,1
82.33,48,33346.02,263.32,Advanced mobile framework,Lake Jose,1,Italy,10-01-2016 12:00,0
31.42,30,43907.96,155.72,Monitored national standardization,South Manuel,1,India,10-01-2016 18:00,1
86.35,25,72622.3,152.24,Robust logistical utilization,Wrightburgh,0,India,11-01-2016 00:00,1
73.71,38,46183.63,296.85,Monitored national standardization,Millerport,0,Iceland,11-01-2016 06:00,0
72.53,18,51195.22,261.3,Triple-buffered reciprocal time-frame,Lake Jose,1,Nauru,11-01-2016 12:00,1
67.39,60,70880.92,243.95,Robust logistical utilization,South Manuel,1,France,11-01-2016 18:00,1
71.83,53,27637.27,184.09,Optimized content strategy,Davidton,1,India,12-01-2016 00:00,0
48.23,31,45793.29,216.0,Vision-oriented solution,New Michael,1,Canada,12-01-2016 06:00,0
60.67,28,59531.04,156.76,Vision-oriented solution,West Jodi,0,Iceland,12-01-2016 12:00,0
78.39,27,21465.52,148.97,Advanced mobile framework,West Jodi,1,India,12-01-2016 18:00,0
73.1,42,49662.63,148.8,Cloned 5thgeneration orchestration,West Jodi,1,Italy,13-01-2016 00:00,0
78.25,51,47872.99,211.48,Monitored national standardization,New Michael,0,Canada,13-01-2016 06:00,1
87.0,46,56759.14,243.85,Optimized content strategy,New Michael,0,Canada,13-01-2016 12:00,1
45.55,33,70391.77,155.46,Advanced mobile framework,West Terrifurt,1,Canada,13-01-2016 18:00,0
72.81,33,36302.91,163.94,Monitored national standardization,Davidton,0,Italy,14-01-2016 00:00,1
71.64,31,23853.73,181.52,Advanced mobile framework,Millerport,0,Italy,14-01-2016 06:00,1
53.37,55,76763.72,103.91,Optimized content strategy,New Michael,0,France,14-01-2016 12:00,1
75.21,44,52293.23,246.93,Triple-buffered reciprocal time-frame,New Michael,0,Iceland,14-01-2016 18:00,1
59.14,42,40167.77,235.83,Optimized content strategy,Davidton,1,San Marino,15-01-2016 00:00,0
84.42,55,53863.52,105.42,Optimized content strategy,Davidton,1,San Marino,15-01-2016 06:00,0
45.61,38,32699.62,165.37,Optimized content strategy,South Manuel,1,Iceland,15-01-2016 12:00,0
58.22,52,23125.14,290.38,Triple-buffered reciprocal time-frame,West Jodi,0,Tunisia,15-01-2016 18:00,0
41.96,19,57280.14,147.71,Advanced mobile framework,West Jodi,0,Canada,16-01-2016 00:00,1
76.01,28,56353.56,292.75,Monitored national standardization,Davidton,1,Nauru,16-01-2016 06:00,0
85.73,54,60640.84,291.63,Optimized content strategy,West Terrifurt,0,Italy,16-01-2016 12:00,0
71.83,37,71017.59,220.08,Monitored national standardization,Wrightburgh,1,India,16-01-2016 18:00,1
34.14,59,40473.87,269.92,Advanced mobile framework,West Jodi,1,France,17-01-2016 00:00,1
72.44,45,30568.22,204.35,Robust logistical utilization,New Michael,1,India,17-01-2016 06:00,1
49.34,33,69843.86,117.33,Advanced mobile framework,West Terrifurt,1,India,17-01-2016 12:00,1
31.72,38,30910.39,142.42,Robust logistical utilization,Lake Jose,1,Iceland,17-01-2016 18:00,0
61.0,30,25136.78,244.01,Advanced mobile framework,West Terrifurt,1,Canada,18-01-2016 00:00,1
77.58,23,37654.13,180.88,Triple-buffered reciprocal time-frame,South Manuel,1,Canada,18-01-2016 06:00,1
55.53,53,39847.48,240.57,Robust logistical utilization,South Manuel,1,Italy,18-01-2016 12:00,0
73.28,38,27173.28,207.17,Organic bottom-line service-desk,West Terrifurt,0,Canada,18-01-2016 18:00,1
73.48,51,55807.44,296.1,Triple-buffered reciprocal time-frame,South Manuel,0,France,19-01-2016 00:00,0
48.14,52,27594.98,109.1,Cloned 5thgeneration orchestration,South Manuel,0,Canada,19-01-2016 06:00,0
82.36,54,37060.36,195.74,Vision-oriented solution,Davidton,0,Iceland,19-01-2016 12:00,1
36.85,22,44042.45,114.82,Cloned 5thgeneration orchestration,Davidton,0,Iceland,19-01-2016 18:00,0
89.64,25,53484.38,183.23,Triple-buffered reciprocal time-frame,Millerport,1,Canada,20-01-2016 00:00,1
81.61,45,38322.81,224.21,Monitored national standardization,West Terrifurt,0,Iceland,20-01-2016 06:00,0
39.42,29,53119.53,131.31,Optimized content strategy,New Michael,1,Iceland,20-01-2016 12:00,0
43.89,36,62179.25,190.81,Triple-buffered reciprocal time-frame,South Manuel,0,India,20-01-2016 18:00,0
62.67,59,28939.36,153.13,Organic bottom-line service-desk,West Jodi,0,San Marino,21-01-2016 00:00,1
65.7,54,75271.55,187.83,Advanced mobile framework,South Manuel,1,Iceland,21-01-2016 06:00,1
56.27,56,22391.65,186.41,Vision-oriented solution,South Manuel,0,Nauru,21-01-2016 12:00,0
87.71,54,55227.38,104.15,Robust logistical utilization,Wrightburgh,0,Canada,21-01-2016 18:00,1
84.96,29,79816.73,187.18,Advanced mobile framework,West Jodi,1,France,22-01-2016 00:00,1
50.0,60,26275.99,132.16,Optimized content strategy,New Michael,1,India,22-01-2016 06:00,0
57.29,38,35143.93,123.18,Optimized content strategy,Wrightburgh,1,India,22-01-2016 12:00,0
41.25,41,57358.03,199.7,Advanced mobile framework,Wrightburgh,0,Iceland,22-01-2016 18:00,0
85.66,46,72850.8,196.94,Cloned 5thgeneration orchestration,West Terrifurt,0,Iceland,23-01-2016 00:00,0
63.14,23,33482.04,268.28,Monitored national standardization,New Michael,0,San Marino,23-01-2016 06:00,1
85.96,36,50532.32,154.68,Advanced mobile framework,New Michael,0,Canada,23-01-2016 12:00,0
53.02,56,50494.45,275.87,Monitored national standardization,South Manuel,1,France,23-01-2016 18:00,1
79.23,36,63563.06,267.5,Advanced mobile framework,Davidton,1,Canada,24-01-2016 00:00,1
49.95,52,42632.6,286.57,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,24-01-2016 06:00,1
32.62,48,62313.67,262.28,Optimized content strategy,Davidton,1,Tunisia,24-01-2016 12:00,0
60.14,55,39919.68,120.07,Advanced mobile framework,West Jodi,1,Tunisia,24-01-2016 18:00,0
54.6,59,78197.41,114.97,Robust logistical utilization,Lake Jose,1,Nauru,25-01-2016 00:00,1
81.14,52,42800.56,163.33,Advanced mobile framework,Wrightburgh,0,Italy,25-01-2016 06:00,1
89.85,23,46038.29,119.69,Monitored national standardization,New Michael,0,Iceland,25-01-2016 12:00,0
32.76,21,37602.07,174.97,Organic bottom-line service-desk,West Terrifurt,1,San Marino,25-01-2016 18:00,0
40.5,57,72250.38,223.94,Triple-buffered reciprocal time-frame,New Michael,0,Italy,26-01-2016 00:00,1
68.27,47,35319.6,101.88,Advanced mobile framework,South Manuel,0,Nauru,26-01-2016 06:00,1
86.71,55,37949.25,292.41,Robust logistical utilization,New Michael,1,Italy,26-01-2016 12:00,1
81.2,24,34232.34,214.38,Robust logistical utilization,South Manuel,0,India,26-01-2016 18:00,1
30.49,21,74637.02,249.03,Robust logistical utilization,West Terrifurt,1,Italy,27-01-2016 00:00,0
67.25,60,60851.31,127.36,Monitored national standardization,Wrightburgh,1,Canada,27-01-2016 06:00,0
64.77,26,25408.0,159.02,Optimized content strategy,Davidton,0,San Marino,27-01-2016 12:00,1
61.85,35,69828.36,151.39,Advanced mobile framework,South Manuel,1,Nauru,27-01-2016 18:00,1
87.77,27,65249.09,145.12,Optimized content strategy,Lake Jose,0,India,28-01-2016 00:00,0
45.87,25,47287.16,234.57,Robust logistical utilization,Millerport,1,Nauru,28-01-2016 06:00,0
58.29,57,73054.09,212.28,Triple-buffered reciprocal time-frame,West Jodi,1,Iceland,28-01-2016 12:00,1
37.0,20,76775.69,160.87,Advanced mobile framework,West Jodi,0,Italy,28-01-2016 18:00,0
53.32,41,60229.17,248.63,Optimized content strategy,Davidton,1,Nauru,29-01-2016 00:00,1
66.94,35,21962.98,174.11,Advanced mobile framework,New Michael,0,France,29-01-2016 06:00,0
88.86,41,52667.95,295.57,Vision-oriented solution,Wrightburgh,1,Iceland,29-01-2016 12:00,0
88.09,47,25500.41,142.42,Cloned 5thgeneration orchestration,Wrightburgh,1,Italy,29-01-2016 18:00,0
77.22,31,24116.61,253.03,Triple-buffered reciprocal time-frame,West Terrifurt,0,France,30-01-2016 00:00,0
77.32,56,20170.13,271.68,Organic bottom-line service-desk,Davidton,1,San Marino,30-01-2016 06:00,0
69.66,19,27908.19,171.65,Triple-buffered reciprocal time-frame,Lake Jose,0,San Marino,30-01-2016 12:00,1
33.14,44,51565.13,249.13,Advanced mobile framework,New Michael,1,Nauru,30-01-2016 18:00,1
60.23,57,22601.9,256.65,Robust logistical utilization,New Michael,0,Tunisia,31-01-2016 00:00,1
80.84,45,61165.85,198.05,Advanced mobile framework,West Jodi,0,France,31-01-2016 06:00,0
33.94,35,57459.05,217.07,Vision-oriented solution,Millerport,1,Canada,31-01-2016 12:00,1
35.95,25,71167.56,230.18,Triple-buffered reciprocal time-frame,Millerport,1,Italy,31-01-2016 18:00,1
50.34,47,43923.81,245.92,Vision-oriented solution,Millerport,1,Iceland,01-02-2016 00:00,1
87.22,48,24028.0,266.35,Monitored national standardization,Millerport,0,France,01-02-2016 06:00,0
63.38,55,77397.48,212.34,Monitored national standardization,Millerport,1,India,01-02-2016 12:00,0
88.1,56,38746.93,120.72,Triple-buffered reciprocal time-frame,Davidton,1,Italy,01-02-2016 18:00,0
51.01,53,42053.66,252.52,Triple-buffered reciprocal time-frame,Millerport,0,Iceland,02-02-2016 00:00,0
40.82,37,75292.25,170.2,Organic bottom-line service-desk,Davidton,1,Nauru,02-02-2016 06:00,0
74.46,19,25505.46,206.1,Optimized content strategy,Millerport,1,France,02-02-2016 12:00,0
52.2,38,66610.14,213.52,Monitored national standardization,Wrightburgh,0,San Marino,02-02-2016 18:00,0
70.44,35,46586.78,184.8,Advanced mobile framework,Millerport,1,Italy,03-02-2016 00:00,0
50.71,25,36994.79,235.7,Advanced mobile framework,South Manuel,0,Italy,03-02-2016 06:00,1
89.07,21,20461.23,160.28,Triple-buffered reciprocal time-frame,Davidton,1,Iceland,03-02-2016 12:00,1
37.2,49,64820.85,135.14,Optimized content strategy,West Terrifurt,1,Nauru,03-02-2016 18:00,1
81.71,20,46173.18,191.95,Monitored national standardization,Lake Jose,1,India,04-02-2016 00:00,1
47.37,43,21251.39,164.95,Advanced mobile framework,Lake Jose,0,India,04-02-2016 06:00,0
44.6,55,44026.99,115.73,Robust logistical utilization,Lake Jose,0,France,04-02-2016 12:00,0
34.58,58,26841.6,201.99,Vision-oriented solution,Lake Jose,0,Italy,04-02-2016 18:00,0
38.79,30,30409.94,130.57,Monitored national standardization,Davidton,1,Canada,05-02-2016 00:00,1
70.87,54,58579.51,297.31,Vision-oriented solution,Lake Jose,0,Canada,05-02-2016 06:00,0
58.14,58,38169.23,154.93,Cloned 5thgeneration orchestration,Lake Jose,0,Iceland,05-02-2016 12:00,1
57.11,21,42124.26,157.42,Monitored national standardization,Millerport,1,Tunisia,05-02-2016 18:00,1
84.54,54,59110.25,164.31,Advanced mobile framework,Davidton,0,Canada,06-02-2016 00:00,0
78.66,39,78943.13,116.87,Organic bottom-line service-desk,Wrightburgh,0,Canada,06-02-2016 06:00,1
61.44,57,29524.77,174.57,Robust logistical utilization,Millerport,1,France,06-02-2016 12:00,0
77.35,59,40078.96,165.94,Optimized content strategy,South Manuel,1,San Marino,06-02-2016 18:00,1
34.89,60,28485.7,169.96,Optimized content strategy,Davidton,0,Iceland,07-02-2016 00:00,1
68.61,39,68791.09,234.02,Monitored national standardization,Millerport,1,Tunisia,07-02-2016 06:00,1
48.53,31,40503.94,253.23,Triple-buffered reciprocal time-frame,West Terrifurt,0,San Marino,07-02-2016 12:00,0
47.75,24,50461.38,207.95,Cloned 5thgeneration orchestration,Lake Jose,0,India,07-02-2016 18:00,0
39.73,57,68542.62,133.11,Advanced mobile framework,Wrightburgh,1,France,08-02-2016 00:00,0
88.18,57,37095.68,249.71,Advanced mobile framework,West Terrifurt,0,Iceland,08-02-2016 06:00,1
84.24,30,42070.46,289.43,Advanced mobile framework,New Michael,1,India,08-02-2016 12:00,1
87.98,30,68075.55,127.68,Robust logistical utilization,Wrightburgh,1,France,08-02-2016 18:00,0
72.68,51,71069.96,157.01,Organic bottom-line service-desk,South Manuel,1,San Marino,09-02-2016 00:00,1
35.5,32,69002.2,276.93,Cloned 5thgeneration orchestration,Millerport,0,India,09-02-2016 06:00,1
44.15,23,42494.76,105.64,Monitored national standardization,Lake Jose,0,San Marino,09-02-2016 12:00,0
47.21,48,61764.32,127.76,Advanced mobile framework,New Michael,0,Nauru,09-02-2016 18:00,0
45.36,27,52928.25,245.45,Optimized content strategy,West Jodi,1,Italy,10-02-2016 00:00,1
37.31,33,45189.53,258.78,Advanced mobile framework,West Jodi,0,Canada,10-02-2016 06:00,0
67.92,54,34516.29,128.72,Optimized content strategy,Wrightburgh,1,Italy,10-02-2016 12:00,1
41.24,60,25136.84,294.93,Monitored national standardization,Wrightburgh,1,Canada,10-02-2016 18:00,0
68.14,41,35219.02,103.25,Monitored national standardization,Lake Jose,0,Nauru,11-02-2016 00:00,1
38.0,40,52760.82,262.7,Organic bottom-line service-desk,New Michael,1,San Marino,11-02-2016 06:00,0
33.79,47,22219.03,140.32,Triple-buffered reciprocal time-frame,Wrightburgh,1,Iceland,11-02-2016 12:00,1
89.35,52,48403.99,107.32,Triple-buffered reciprocal time-frame,South Manuel,1,Tunisia,11-02-2016 18:00,1
46.39,41,46217.08,180.0,Advanced mobile framework,Millerport,1,San Marino,12-02-2016 00:00,1
71.52,41,75458.63,203.86,Monitored national standardization,Millerport,0,India,12-02-2016 06:00,0
62.73,38,26155.87,165.58,Robust logistical utilization,South Manuel,1,India,12-02-2016 12:00,0
71.39,40,46827.78,245.36,Vision-oriented solution,Millerport,1,Tunisia,12-02-2016 18:00,0
70.27,43,41798.67,260.22,Organic bottom-line service-desk,Wrightburgh,0,Canada,13-02-2016 00:00,0
37.57,33,66710.92,173.27,Optimized content strategy,Wrightburgh,0,Canada,13-02-2016 06:00,1
52.32,22,54435.31,205.89,Optimized content strategy,Lake Jose,1,Italy,13-02-2016 12:00,0
31.55,29,49942.64,177.4,Monitored national standardization,South Manuel,1,Canada,13-02-2016 18:00,0
89.78,36,61638.84,299.73,Triple-buffered reciprocal time-frame,West Jodi,0,Nauru,14-02-2016 00:00,1
40.36,46,79835.74,262.1,Vision-oriented solution,Lake Jose,0,Iceland,14-02-2016 06:00,1
81.08,58,30445.46,172.3,Triple-buffered reciprocal time-frame,West Jodi,0,San Marino,14-02-2016 12:00,0
77.42,19,41653.79,214.46,Advanced mobile framework,Davidton,0,Nauru,14-02-2016 18:00,1
53.89,48,51541.74,253.83,Monitored national standardization,Davidton,1,Nauru,15-02-2016 00:00,1
57.95,51,40670.89,275.59,Organic bottom-line service-desk,Davidton,1,Tunisia,15-02-2016 06:00,0
61.09,37,29879.42,164.53,Triple-buffered reciprocal time-frame,Lake Jose,1,Nauru,15-02-2016 12:00,1
41.78,53,36467.06,225.0,Monitored national standardization,Davidton,0,San Marino,15-02-2016 18:00,1
80.55,54,22471.66,272.76,Monitored national standardization,Wrightburgh,1,Italy,16-02-2016 00:00,1
67.09,19,49882.28,225.43,Robust logistical utilization,South Manuel,1,Italy,16-02-2016 06:00,1
47.85,22,61316.81,131.62,Optimized content strategy,New Michael,1,Italy,16-02-2016 12:00,1
66.4,38,71689.1,163.86,Vision-oriented solution,Millerport,0,France,16-02-2016 18:00,0
49.15,47,27351.31,189.92,Organic bottom-line service-desk,West Jodi,0,Iceland,17-02-2016 00:00,1
81.85,44,34896.22,273.06,Organic bottom-line service-desk,Lake Jose,1,Italy,17-02-2016 06:00,0
59.9,50,48008.91,275.82,Advanced mobile framework,Wrightburgh,0,India,17-02-2016 12:00,1
88.0,31,55000.65,109.73,Robust logistical utilization,New Michael,1,Iceland,17-02-2016 18:00,0
80.83,45,28036.1,152.89,Vision-oriented solution,Millerport,1,Tunisia,18-02-2016 00:00,1
33.07,53,31679.32,210.64,Monitored national standardization,Millerport,1,Iceland,18-02-2016 06:00,0
37.72,24,43634.22,258.98,Vision-oriented solution,Lake Jose,0,Italy,18-02-2016 12:00,1
60.0,20,22334.84,242.72,Advanced mobile framework,New Michael,0,San Marino,18-02-2016 18:00,1
85.88,38,29750.12,298.12,Robust logistical utilization,Lake Jose,1,Iceland,19-02-2016 00:00,1
78.94,41,39874.38,121.92,Optimized content strategy,South Manuel,0,Canada,19-02-2016 06:00,1
88.02,55,54658.06,244.28,Advanced mobile framework,Davidton,1,San Marino,19-02-2016 12:00,0
31.89,25,31447.06,188.21,Optimized content strategy,Davidton,1,Italy,19-02-2016 18:00,1
60.11,57,75231.26,274.56,Cloned 5thgeneration orchestration,Davidton,0,France,20-02-2016 00:00,1
61.53,38,77401.13,191.93,Vision-oriented solution,Lake Jose,1,Canada,20-02-2016 06:00,0
87.44,35,53485.2,144.97,Robust logistical utilization,South Manuel,0,Canada,20-02-2016 12:00,1
58.79,53,76022.02,259.08,Robust logistical utilization,South Manuel,0,India,20-02-2016 18:00,1
79.1,27,37427.16,157.53,Monitored national standardization,Lake Jose,1,Iceland,21-02-2016 00:00,1
42.84,52,36267.96,212.4,Robust logistical utilization,Davidton,0,Italy,21-02-2016 06:00,0
33.05,51,33540.3,146.57,Monitored national standardization,Millerport,1,Canada,21-02-2016 12:00,0
70.87,26,20310.89,210.07,Organic bottom-line service-desk,Millerport,1,Canada,21-02-2016 18:00,0
75.35,36,39270.06,229.18,Monitored national standardization,West Terrifurt,0,San Marino,22-02-2016 00:00,1
82.93,29,76035.36,107.27,Optimized content strategy,New Michael,0,Iceland,22-02-2016 06:00,0
30.56,54,56166.98,285.69,Vision-oriented solution,South Manuel,1,Canada,22-02-2016 12:00,0
81.06,47,36370.22,261.76,Vision-oriented solution,Davidton,1,Iceland,22-02-2016 18:00,0
30.85,39,67446.06,213.56,Triple-buffered reciprocal time-frame,Davidton,1,India,23-02-2016 00:00,1
35.2,60,25723.11,296.34,Advanced mobile framework,Lake Jose,0,Tunisia,23-02-2016 06:00,1
53.01,46,65225.4,290.81,Robust logistical utilization,Wrightburgh,1,France,23-02-2016 12:00,0
33.73,25,47923.7,131.94,Robust logistical utilization,West Jodi,1,France,23-02-2016 18:00,0
43.15,26,48690.91,191.0,Vision-oriented solution,Millerport,1,Italy,24-02-2016 00:00,0
70.82,56,72388.1,116.37,Advanced mobile framework,Lake Jose,0,Nauru,24-02-2016 06:00,0
79.73,50,32129.41,207.33,Organic bottom-line service-desk,Lake Jose,1,Nauru,24-02-2016 12:00,0
73.02,49,25456.5,202.08,Cloned 5thgeneration orchestration,New Michael,0,India,24-02-2016 18:00,1
63.83,53,47742.7,261.38,Cloned 5thgeneration orchestration,Millerport,1,Tunisia,25-02-2016 00:00,0
64.7,20,45421.84,240.08,Cloned 5thgeneration orchestration,West Jodi,1,Tunisia,25-02-2016 06:00,1
54.53,26,65949.66,295.67,Optimized content strategy,Lake Jose,1,Canada,25-02-2016 12:00,1
52.54,60,72473.22,126.6,Vision-oriented solution,West Jodi,0,India,25-02-2016 18:00,0
73.67,32,70089.3,251.24,Robust logistical utilization,New Michael,1,India,26-02-2016 00:00,0
44.85,40,29307.28,137.7,Monitored national standardization,Wrightburgh,1,Tunisia,26-02-2016 06:00,0
42.36,24,55636.65,189.29,Cloned 5thgeneration orchestration,West Terrifurt,0,India,26-02-2016 12:00,1
44.06,31,65263.14,255.21,Organic bottom-line service-desk,South Manuel,0,France,26-02-2016 18:00,1
44.21,27,79141.73,204.25,Optimized content strategy,South Manuel,1,Tunisia,27-02-2016 00:00,0
67.56,45,53351.04,109.38,Vision-oriented solution,Millerport,1,India,27-02-2016 06:00,1
38.95,42,31032.74,207.59,Triple-buffered reciprocal time-frame,West Terrifurt,1,San Marino,27-02-2016 12:00,1
84.88,53,44760.65,183.3,Organic bottom-line service-desk,Millerport,0,Iceland,27-02-2016 18:00,0
49.82,23,75333.57,269.43,Monitored national standardization,West Terrifurt,0,Iceland,28-02-2016 00:00,1
70.42,56,22372.85,114.56,Triple-buffered reciprocal time-frame,New Michael,0,France,28-02-2016 06:00,1
87.42,18,32708.47,138.0,Monitored national standardization,New Michael,0,Italy,28-02-2016 12:00,1
84.91,53,39296.9,156.61,Advanced mobile framework,Lake Jose,1,Iceland,28-02-2016 18:00,1
60.77,49,47960.24,260.56,Advanced mobile framework,Lake Jose,0,France,29-02-2016 00:00,1
54.84,54,71845.09,248.25,Cloned 5thgeneration orchestration,South Manuel,1,Iceland,29-02-2016 06:00,0
41.77,32,42790.39,266.67,Advanced mobile framework,Lake Jose,1,Canada,29-02-2016 12:00,1
57.65,40,30155.94,244.06,Advanced mobile framework,Davidton,0,Tunisia,29-02-2016 18:00,0
86.71,60,22910.86,101.28,Organic bottom-line service-desk,West Terrifurt,0,San Marino,01-03-2016 00:00,0
43.12,47,42392.04,223.57,Advanced mobile framework,New Michael,0,Tunisia,01-03-2016 06:00,1
30.71,51,63331.56,207.15,Robust logistical utilization,Wrightburgh,1,San Marino,01-03-2016 12:00,0
85.08,51,28933.85,138.39,Robust logistical utilization,Lake Jose,1,India,01-03-2016 18:00,0
52.38,43,47539.86,148.64,Triple-buffered reciprocal time-frame,South Manuel,0,Tunisia,02-03-2016 00:00,0
54.32,42,53162.09,111.22,Cloned 5thgeneration orchestration,Davidton,0,Canada,02-03-2016 06:00,1
68.69,39,53951.4,271.59,Monitored national standardization,Wrightburgh,0,Italy,02-03-2016 12:00,1
46.27,22,61065.72,156.07,Cloned 5thgeneration orchestration,Davidton,1,Tunisia,02-03-2016 18:00,0
65.22,43,75732.5,159.86,Triple-buffered reciprocal time-frame,Millerport,1,India,03-03-2016 00:00,0
77.43,23,50047.57,294.86,Cloned 5thgeneration orchestration,West Jodi,1,Italy,03-03-2016 06:00,0
50.44,57,77291.5,179.34,Vision-oriented solution,Wrightburgh,1,Canada,03-03-2016 12:00,1
43.69,53,76468.57,186.37,Optimized content strategy,West Jodi,1,Italy,03-03-2016 18:00,0
34.92,27,42800.0,256.78,Organic bottom-line service-desk,Millerport,1,France,04-03-2016 00:00,0
35.49,37,46684.15,252.27,Monitored national standardization,Davidton,0,San Marino,04-03-2016 06:00,1
56.93,53,50746.45,120.66,Monitored national standardization,Lake Jose,0,France,04-03-2016 12:00,1
30.74,44,43267.97,116.94,Triple-buffered reciprocal time-frame,Davidton,1,San Marino,04-03-2016 18:00,0
46.14,35,49587.44,112.65,Optimized content strategy,South Manuel,1,Iceland,05-03-2016 00:00,1
76.96,41,35101.98,149.32,Advanced mobile framework,West Terrifurt,1,Nauru,05-03-2016 06:00,0
48.28,43,39933.03,224.04,Vision-oriented solution,New Michael,1,India,05-03-2016 12:00,0
48.03,56,76836.74,140.17,Vision-oriented solution,Davidton,1,France,05-03-2016 18:00,1
74.09,58,49460.44,215.18,Triple-buffered reciprocal time-frame,Lake Jose,1,Iceland,06-03-2016 00:00,1
51.9,54,31988.0,299.45,Organic bottom-line service-desk,Wrightburgh,1,Italy,06-03-2016 06:00,1
77.86,22,69137.93,259.13,Optimized content strategy,New Michael,0,Iceland,06-03-2016 12:00,0
45.16,27,62914.18,257.82,Monitored national standardization,New Michael,1,India,06-03-2016 18:00,1
62.62,41,62098.06,262.46,Monitored national standardization,West Jodi,0,France,07-03-2016 00:00,0
68.82,20,53793.22,229.01,Optimized content strategy,Lake Jose,1,Nauru,07-03-2016 06:00,0
35.92,32,50640.57,203.76,Triple-buffered reciprocal time-frame,New Michael,1,India,07-03-2016 12:00,1
76.34,55,61426.24,130.15,Cloned 5thgeneration orchestration,New Michael,0,Iceland,07-03-2016 18:00,1
85.23,23,26964.16,288.14,Organic bottom-line service-desk,Lake Jose,1,France,08-03-2016 00:00,1
